image_path,label,class,generator
dataset/raw/content/fake_images/denoising_diffusion_gan/113.jpg,1,fake,denoising_diffusion_gan
dataset/raw/content/real_images/1121.jpg,0,real,real
dataset/raw/content/fake_images/sfhq/340.jpg,1,fake,sfhq
dataset/raw/content/real_images/5639.jpg,0,real,real
dataset/raw/content/fake_images/vq_diffusion/118.jpg,1,fake,vq_diffusion
dataset/raw/content/fake_images/diffusion_gan/147.jpg,1,fake,diffusion_gan
dataset/raw/content/real_images/5718.jpg,0,real,real
dataset/raw/content/real_images/5573.jpg,0,real,real
dataset/raw/content/fake_images/big_gan/163.jpg,1,fake,big_gan
dataset/raw/content/fake_images/stylegan2/297.jpg,1,fake,stylegan2
dataset/raw/content/real_images/57.jpg,0,real,real
dataset/raw/content/real_images/5443.jpg,0,real,real
dataset/raw/content/real_images/8836.jpg,0,real,real
dataset/raw/content/real_images/3759.jpg,0,real,real
dataset/raw/content/real_images/1454.jpg,0,real,real
dataset/raw/content/fake_images/stylegan1/47.jpg,1,fake,stylegan1
dataset/raw/content/real_images/3988.jpg,0,real,real
dataset/raw/content/real_images/4159.jpg,0,real,real
dataset/raw/content/fake_images/palette/273.jpg,1,fake,palette
dataset/raw/content/fake_images/stylegan1/320.jpg,1,fake,stylegan1
dataset/raw/content/fake_images/sfhq/428.jpg,1,fake,sfhq
dataset/raw/content/real_images/2105.jpg,0,real,real
dataset/raw/content/fake_images/mat/449.jpg,1,fake,mat
dataset/raw/content/real_images/1950.jpg,0,real,real
dataset/raw/content/fake_images/mat/8.jpg,1,fake,mat
dataset/raw/content/real_images/10023.jpg,0,real,real
dataset/raw/content/fake_images/gau_gan/90.jpg,1,fake,gau_gan
dataset/raw/content/fake_images/gansformer/78.jpg,1,fake,gansformer
dataset/raw/content/real_images/3654.jpg,0,real,real
dataset/raw/content/fake_images/denoising_diffusion_gan/270.jpg,1,fake,denoising_diffusion_gan
dataset/raw/content/fake_images/palette/185.jpg,1,fake,palette
dataset/raw/content/fake_images/gau_gan/706.jpg,1,fake,gau_gan
dataset/raw/content/real_images/2238.jpg,0,real,real
dataset/raw/content/fake_images/stylegan1/60.jpg,1,fake,stylegan1
dataset/raw/content/real_images/1607.jpg,0,real,real
dataset/raw/content/fake_images/gau_gan/626.jpg,1,fake,gau_gan
dataset/raw/content/fake_images/mat/130.jpg,1,fake,mat
dataset/raw/content/fake_images/projected_gan/32.jpg,1,fake,projected_gan
dataset/raw/content/real_images/2525.jpg,0,real,real
dataset/raw/content/fake_images/gau_gan/697.jpg,1,fake,gau_gan
dataset/raw/content/real_images/3721.jpg,0,real,real
dataset/raw/content/real_images/10943.jpg,0,real,real
dataset/raw/content/fake_images/diffusion_gan/485.jpg,1,fake,diffusion_gan
dataset/raw/content/fake_images/cips/221.jpg,1,fake,cips
dataset/raw/content/real_images/3638.jpg,0,real,real
dataset/raw/content/real_images/871.jpg,0,real,real
dataset/raw/content/fake_images/big_gan/324.jpg,1,fake,big_gan
dataset/raw/content/fake_images/star_gan/68.jpg,1,fake,star_gan
dataset/raw/content/fake_images/stylegan1/77.jpg,1,fake,stylegan1
dataset/raw/content/real_images/2274.jpg,0,real,real
dataset/raw/content/fake_images/cips/451.jpg,1,fake,cips
dataset/raw/content/fake_images/cips/480.jpg,1,fake,cips
dataset/raw/content/fake_images/stable_diffusion/72.jpg,1,fake,stable_diffusion
dataset/raw/content/fake_images/vq_diffusion/314.jpg,1,fake,vq_diffusion
dataset/raw/content/real_images/4980.jpg,0,real,real
dataset/raw/content/real_images/6280.jpg,0,real,real
dataset/raw/content/fake_images/generative_inpainting/158.jpg,1,fake,generative_inpainting
dataset/raw/content/fake_images/denoising_diffusion_gan/185.jpg,1,fake,denoising_diffusion_gan
dataset/raw/content/fake_images/stylegan1/324.jpg,1,fake,stylegan1
dataset/raw/content/fake_images/denoising_diffusion_gan/485.jpg,1,fake,denoising_diffusion_gan
dataset/raw/content/fake_images/gau_gan/622.jpg,1,fake,gau_gan
dataset/raw/content/real_images/3899.jpg,0,real,real
dataset/raw/content/real_images/885.jpg,0,real,real
dataset/raw/content/real_images/7381.jpg,0,real,real
dataset/raw/content/real_images/5407.jpg,0,real,real
dataset/raw/content/real_images/4005.jpg,0,real,real
dataset/raw/content/fake_images/star_gan/303.jpg,1,fake,star_gan
dataset/raw/content/fake_images/stylegan3/431.jpg,1,fake,stylegan3
dataset/raw/content/fake_images/palette/272.jpg,1,fake,palette
dataset/raw/content/fake_images/projected_gan/257.jpg,1,fake,projected_gan
dataset/raw/content/real_images/9256.jpg,0,real,real
dataset/raw/content/fake_images/sfhq/233.jpg,1,fake,sfhq
dataset/raw/content/real_images/1635.jpg,0,real,real
dataset/raw/content/fake_images/taming_transformer/223.jpg,1,fake,taming_transformer
dataset/raw/content/real_images/10235.jpg,0,real,real
dataset/raw/content/fake_images/face_synthetics/372.jpg,1,fake,face_synthetics
dataset/raw/content/fake_images/sfhq/281.jpg,1,fake,sfhq
dataset/raw/content/fake_images/stable_diffusion/449.jpg,1,fake,stable_diffusion
dataset/raw/content/fake_images/generative_inpainting/942.jpg,1,fake,generative_inpainting
dataset/raw/content/real_images/1930.jpg,0,real,real
dataset/raw/content/real_images/9842.jpg,0,real,real
dataset/raw/content/fake_images/sfhq/191.jpg,1,fake,sfhq
dataset/raw/content/real_images/208.jpg,0,real,real
dataset/raw/content/real_images/6825.jpg,0,real,real
dataset/raw/content/fake_images/stylegan3/430.jpg,1,fake,stylegan3
dataset/raw/content/real_images/23.jpg,0,real,real
dataset/raw/content/real_images/1196.jpg,0,real,real
dataset/raw/content/fake_images/denoising_diffusion_gan/174.jpg,1,fake,denoising_diffusion_gan
dataset/raw/content/fake_images/sfhq/417.jpg,1,fake,sfhq
dataset/raw/content/fake_images/diffusion_gan/435.jpg,1,fake,diffusion_gan
dataset/raw/content/fake_images/gansformer/139.jpg,1,fake,gansformer
dataset/raw/content/fake_images/stylegan2/753.jpg,1,fake,stylegan2
dataset/raw/content/fake_images/taming_transformer/434.jpg,1,fake,taming_transformer
dataset/raw/content/fake_images/stylegan2/748.jpg,1,fake,stylegan2
dataset/raw/content/fake_images/palette/121.jpg,1,fake,palette
dataset/raw/content/real_images/1550.jpg,0,real,real
dataset/raw/content/fake_images/face_synthetics/487.jpg,1,fake,face_synthetics
dataset/raw/content/real_images/2984.jpg,0,real,real
dataset/raw/content/fake_images/star_gan/404.jpg,1,fake,star_gan
